dealerName,dealerAddress,phoneNumber,email,authorizationStatus
"Rodriguez, West and Wade","49771 Tara Freeway Suite 786 West Daniel, ID 23223",(265)325-6885x545,diazstephanie@example.net,Inactive
"Palmer, Mitchell and Bates",Unit 4018 Box 1835 DPO AA 12637,+1-287-439-3113x4552,masonkristi@example.net,Revoked
"Lewis, Lutz and Harrington","27815 Copeland Run South Ronald, MH 05950",(717)243-5632x31292,hernandezcourtney@example.org,Authorized
Garcia-Weaver,"332 Danielle Ranch Suite 159 North Johnhaven, OK 69270",(719)396-1767,liujacqueline@example.org,Pending
Martinez PLC,"26635 Alvarez Spurs Meganmouth, KY 53288",871.225.7390,bjames@example.org,Revoked
Murphy Group,"99704 Michael Groves Lake Dawn, SC 11772",+1-714-306-4072x89415,lopezjoshua@example.net,Suspended
"Conley, Ellis and Duke","4300 Johnson Ridges Suite 908 Kellyport, IA 76612",3188428130,nramirez@example.org,Revoked
"Rhodes, Carpenter and Chandler","70800 Garcia Burg Suite 452 Joseton, OH 97030",001-668-243-5400x4553,jonathan59@example.org,Inactive
"Miller, Alexander and Murphy","56333 Scott Spur Stevenberg, TX 39813",(860)496-4516x7973,diana85@example.com,Pending
"Schmidt, Koch and Schroeder","965 Castillo Corner Lake Nathanchester, WA 04449",+1-782-237-1102,joehernandez@example.net,Authorized
"Reynolds, Moore and Beard","PSC 0448, Box 0285 APO AP 92857",3586632118,christopheryates@example.com,Authorized
"Phillips, Reyes and Haynes","64307 Suzanne Junctions Apt. 327 Robinsonborough, GU 64182",924-683-0499x9466,hernandeztroy@example.com,Authorized
Norton-Barry,"1120 Padilla Estates Apt. 129 Williambury, NM 35514",361-322-0076x759,adkinsedwin@example.net,Inactive
Juarez-Dixon,"2855 Samantha Fork Apt. 536 Samanthafurt, FL 50550",5645369483,wernerlisa@example.com,Authorized
Hill Ltd,"97945 Randall Loop Apt. 414 South Jesusmouth, UT 44769",+1-273-403-2535,tammycaldwell@example.com,Revoked
"Salas, Goodwin and Williams","3425 Allison Hill Bergstad, ND 48111",+1-442-252-0058,washingtonnancy@example.com,Pending
"Lee, Harmon and Gates","6764 Mullins Heights Mitchellberg, AK 78907",469.932.7246x90480,elizabethzhang@example.org,Authorized
"Wilcox, Garcia and Chapman","3730 John Extension Kimburgh, TX 37833",485-518-2859x8120,nicole08@example.org,Authorized
"Bell, Murphy and Hodges","813 Margaret Lodge Suite 467 Wagnerhaven, IN 06735",737.315.9742,sandra47@example.com,Revoked
"Smith, Lee and Dickson","98942 Raymond Causeway North Kristin, CT 07190",+1-408-989-2210x983,morrowchristy@example.net,Suspended
"Kelly, Banks and Johnson","540 Sharp Squares Suite 120 New Robertburgh, DE 55373",969-201-9754,kristinathomas@example.net,Revoked
"Jackson, Ochoa and Parker","3406 Christopher Mill Apt. 412 Smithchester, VI 45745",001-436-786-8628,nicolemcmillan@example.org,Authorized
"Strickland, Howard and Jimenez","825 Valerie Plains Apt. 208 South Samanthabury, AZ 53039",331.566.4508x96782,chungrichard@example.com,Pending
"Doyle, Khan and Klein",USCGC Lara FPO AA 36528,(757)809-6204x12054,nataliesullivan@example.net,Suspended
Turner-Navarro,"6937 Ruth Parkway Chungtown, AL 72910",(967)849-5839,bullockyvette@example.net,Authorized
Williams Inc,"657 Logan Mountain Apt. 973 Mindyport, MS 79569",467.295.8161,walterwilliamson@example.com,Inactive
Lewis-Arroyo,"545 Francis Trail Suite 388 Donaldsonton, MN 37161",336-376-8823x782,thompsonjoan@example.net,Revoked
"Reeves, Wright and Hernandez","526 Franklin Spur Suite 963 Edwardsberg, TX 53456",510-718-6464x73192,phillipslisa@example.com,Inactive
"Garcia, Reynolds and Thomas","401 Leroy Court Apt. 561 Laurenhaven, MN 34049",+1-877-936-9699x101,jackie53@example.org,Suspended
Alvarez-Dennis,"7639 Mark Overpass Smithhaven, CA 32500",482-309-7392x7488,robert30@example.net,Suspended
"Mitchell, Fisher and Russell","846 Cheryl Burg North Angelaside, PA 92702",+1-367-868-3192x5113,rodney04@example.org,Revoked
Li Group,"07208 Hogan Islands Lake Phillip, CO 74098",(436)545-1795,todd30@example.com,Authorized
Flores-Heath,"7796 Karl Curve Lake Saramouth, AL 14829",(754)472-7103,chenderson@example.com,Suspended
Mendez-Jones,"PSC 6762, Box 8403 APO AP 42757",(727)703-1797,gbush@example.com,Authorized
Rhodes-Potts,"677 Byrd Common Suite 035 Jacobview, NJ 77370",3267643739,riddlenicholas@example.org,Suspended
Miller-Garcia,"585 Stephanie Mountains Apt. 789 Jessicaborough, AS 28945",612.578.2751,garzaelizabeth@example.net,Pending
"Ayala, Bennett and Heath","605 Sandra Plaza Apt. 032 Johnsonside, ME 26846",(634)732-2786,kennethroman@example.net,Suspended
"Jimenez, Brooks and Hawkins","7567 Jennifer Trail Apt. 244 North Brittanyshire, MA 38031",278.825.7607,seth01@example.net,Inactive
Johnson-Curry,"499 Daniel Pine Apt. 868 Robertsmouth, CA 09373",001-926-521-4855x5691,brandi02@example.net,Authorized
