dealerID,carID,sellDate,price,warrantyPeriod,paymentMethod
182,654,2023-03-23,186864,60,Financing
898,242,2023-05-13,120649,36,Credit Card
957,13,2023-05-31,74703,60,Financing
499,323,2022-12-10,160852,12,Trade-In
971,129,2024-06-28,27709,36,Credit Card
771,491,2024-09-22,376383,48,Financing
561,456,2024-09-14,280516,12,Lease
799,66,2024-03-16,394665,36,Credit Card
710,588,2024-01-31,123940,36,Credit Card
505,336,2024-01-02,181695,48,Cash
882,540,2024-05-04,369845,60,Cash
398,532,2023-09-02,75665,36,Cash
537,21,2023-04-03,42139,48,Financing
700,65,2023-10-05,116217,48,Cash
859,601,2024-05-05,75343,60,Cash
259,109,2023-07-23,166121,60,Cash
301,230,2024-06-09,453719,36,Trade-In
266,710,2023-01-27,129156,12,Financing
336,727,2024-02-18,116951,48,Financing
920,427,2023-06-30,85895,36,Cash
221,811,2023-07-16,426305,60,Lease
684,437,2023-11-19,452346,24,Financing
181,222,2024-08-20,183848,12,Cash
630,93,2023-06-06,313467,36,Lease
307,442,2024-06-17,243425,60,Financing
899,986,2024-01-16,371990,12,Financing
63,564,2023-10-14,308440,12,Credit Card
825,225,2023-12-18,374633,60,Lease
942,526,2024-01-21,371122,60,Lease
782,608,2023-08-01,313320,48,Trade-In
377,255,2023-06-19,442413,36,Lease
401,461,2023-03-14,78576,24,Financing
68,562,2023-02-23,394887,48,Trade-In
411,962,2023-12-27,394711,12,Trade-In
62,274,2023-06-01,415183,12,Financing
821,896,2023-09-18,18618,48,Financing
207,874,2023-08-28,200188,12,Credit Card
749,586,2024-08-09,481466,60,Lease
874,503,2024-04-19,340796,36,Trade-In
994,246,2024-02-16,456837,60,Cash
719,264,2022-10-11,69748,48,Financing
186,790,2024-07-09,398261,48,Cash
679,96,2022-11-30,24567,48,Financing
396,739,2023-03-22,241936,24,Credit Card
689,841,2024-09-01,297849,60,Trade-In
61,712,2023-06-02,193307,60,Credit Card
408,376,2022-10-21,180744,12,Cash
600,200,2023-05-07,145304,12,Credit Card
184,688,2023-07-02,489762,12,Lease
899,913,2023-09-14,496471,60,Cash
329,264,2024-02-12,247608,60,Cash
149,527,2023-09-18,106351,48,Credit Card
48,609,2023-03-02,300126,60,Trade-In
611,840,2023-07-27,194711,60,Lease
401,817,2024-09-15,133825,36,Lease
237,43,2024-05-26,369805,48,Financing
41,846,2023-01-14,470577,36,Cash
260,116,2023-02-05,386160,12,Cash
602,931,2023-03-08,320779,60,Cash
129,275,2024-04-19,217106,24,Cash
440,819,2023-07-24,398825,60,Trade-In
869,367,2023-10-21,77073,48,Lease
927,497,2023-11-30,184274,12,Credit Card
319,978,2024-05-11,118461,48,Credit Card
243,560,2024-05-12,284270,60,Financing
391,987,2023-11-09,235828,36,Lease
390,387,2023-03-16,18521,12,Lease
905,62,2023-12-08,294300,48,Lease
773,534,2023-09-26,481659,48,Lease
948,254,2024-03-06,345068,12,Credit Card
223,457,2023-09-26,125454,48,Financing
417,924,2023-08-24,327579,12,Cash
38,230,2023-11-10,23616,24,Trade-In
317,782,2022-12-06,364478,60,Trade-In
35,662,2024-08-12,268817,12,Financing
508,73,2023-01-25,80159,48,Credit Card
471,976,2024-06-09,429656,24,Financing
600,759,2023-01-08,113263,48,Trade-In
63,102,2024-04-14,193201,48,Trade-In
11,791,2024-09-27,58769,24,Trade-In
258,976,2024-02-21,194732,24,Financing
140,879,2023-01-30,184840,12,Financing
383,638,2023-01-10,73992,48,Lease
442,945,2023-08-17,153358,48,Cash
176,436,2024-06-19,109112,60,Trade-In
126,776,2023-07-02,448993,24,Financing
946,241,2024-06-03,398147,48,Credit Card
505,449,2022-10-26,131646,12,Credit Card
15,346,2024-05-27,42245,48,Cash
446,807,2023-02-20,195453,48,Financing
288,742,2023-11-05,115122,48,Trade-In
100,426,2024-08-24,346319,48,Credit Card
859,402,2023-10-26,283589,60,Trade-In
81,652,2023-05-01,247404,24,Financing
735,104,2024-09-16,102907,48,Financing
828,890,2022-12-08,44999,12,Trade-In
827,83,2024-06-07,117512,48,Credit Card
304,502,2024-04-24,263227,48,Financing
554,885,2024-04-11,272614,60,Credit Card
333,436,2023-06-30,154287,48,Cash
424,421,2024-04-09,301320,60,Credit Card
156,169,2024-06-27,76995,12,Credit Card
297,887,2023-08-25,153730,60,Financing
497,874,2023-06-16,407076,36,Lease
296,78,2024-01-17,494390,12,Financing
309,547,2022-11-02,28874,36,Lease
30,872,2022-12-17,59610,60,Lease
843,439,2023-08-26,459431,36,Financing
119,936,2023-01-30,71949,48,Financing
269,47,2023-07-12,95056,60,Financing
58,186,2023-06-19,361138,48,Cash
934,672,2023-07-04,242480,36,Financing
324,919,2023-03-25,230819,60,Trade-In
829,330,2023-04-06,249199,24,Lease
421,409,2024-03-10,9197,48,Lease
160,480,2023-09-25,310251,24,Financing
806,484,2023-05-10,215664,48,Financing
965,73,2023-11-05,307429,36,Lease
190,435,2023-03-11,165435,24,Trade-In
537,396,2024-10-07,410931,48,Financing
475,681,2022-10-29,168608,48,Cash
830,892,2023-03-03,89845,12,Lease
695,377,2024-07-21,252445,24,Credit Card
150,203,2023-11-10,422948,12,Trade-In
212,756,2024-03-15,137655,48,Trade-In
49,839,2022-11-09,26064,12,Lease
726,805,2022-11-12,217962,12,Credit Card
339,33,2024-03-29,329070,12,Trade-In
59,489,2024-07-01,272222,48,Trade-In
760,336,2024-04-16,322955,24,Trade-In
71,67,2023-08-08,389551,12,Lease
281,647,2023-04-03,399839,36,Cash
859,914,2024-05-15,407063,12,Credit Card
551,321,2024-06-23,280907,12,Credit Card
603,226,2023-04-03,115687,36,Cash
149,887,2023-06-29,341857,60,Lease
321,266,2023-08-08,391016,24,Credit Card
739,374,2023-07-03,416749,36,Financing
797,430,2023-04-16,437879,60,Credit Card
407,669,2023-10-30,153953,48,Cash
715,417,2022-10-13,247751,36,Credit Card
226,528,2024-02-04,218767,36,Credit Card
944,8,2023-10-17,484532,12,Lease
776,212,2023-09-12,58360,12,Financing
145,98,2024-07-15,71292,36,Financing
30,835,2023-02-16,284410,48,Trade-In
75,149,2024-09-27,494780,36,Cash
860,503,2023-02-01,418174,48,Lease
506,870,2023-07-27,65677,36,Cash
876,784,2023-12-05,237218,60,Credit Card
967,827,2023-06-01,243679,12,Financing
648,520,2024-10-04,265766,36,Trade-In
279,360,2024-02-03,111258,48,Financing
42,68,2023-04-13,237533,48,Credit Card
290,661,2023-12-20,272846,24,Cash
552,73,2022-11-08,458555,12,Cash
734,617,2024-10-05,485492,48,Cash
142,298,2024-07-22,196042,12,Lease
131,68,2023-07-12,359126,36,Lease
298,11,2022-11-04,435358,48,Lease
872,572,2024-09-03,330672,60,Cash
203,566,2023-10-06,190758,12,Cash
573,344,2023-08-20,226911,24,Credit Card
856,392,2024-04-03,289376,36,Financing
438,308,2023-03-29,333590,48,Trade-In
394,178,2022-10-30,26224,12,Credit Card
496,918,2023-01-08,331180,24,Cash
154,10,2022-10-18,380714,24,Lease
928,825,2024-07-05,106462,36,Financing
94,572,2022-10-18,198795,60,Credit Card
27,839,2023-02-03,63804,36,Credit Card
279,52,2024-04-21,60058,60,Trade-In
115,445,2024-04-02,280846,12,Lease
809,983,2023-03-23,198223,60,Financing
412,659,2023-06-27,368307,36,Financing
37,304,2024-05-26,390472,36,Trade-In
918,127,2023-10-08,436377,48,Credit Card
591,10,2022-11-20,281856,24,Trade-In
159,917,2023-05-26,142554,60,Financing
937,651,2024-04-29,274620,12,Lease
757,672,2024-05-15,74928,24,Trade-In
369,788,2024-07-30,202581,24,Financing
153,746,2024-08-22,215137,36,Financing
730,109,2024-02-14,452411,12,Cash
465,663,2023-09-18,450596,48,Credit Card
523,116,2023-09-05,237175,48,Financing
261,586,2024-05-20,464380,48,Cash
781,212,2023-01-12,36633,24,Financing
545,714,2023-07-23,439106,24,Credit Card
528,127,2023-11-13,129106,60,Credit Card
211,555,2024-03-31,224180,12,Lease
373,48,2022-11-26,17164,24,Credit Card
76,243,2022-10-18,192689,12,Trade-In
934,130,2024-05-08,305663,48,Lease
716,126,2023-09-26,81354,24,Credit Card
386,539,2022-11-28,29873,60,Lease
590,263,2024-02-20,451618,36,Credit Card
868,8,2024-08-24,216193,60,Credit Card
385,78,2024-09-26,316172,60,Financing
742,128,2023-06-28,277725,36,Financing
331,680,2024-01-08,123814,36,Lease
733,457,2022-10-13,440834,12,Lease
10,616,2024-06-17,351775,60,Trade-In
591,228,2023-10-31,189823,12,Lease
43,645,2023-08-04,184689,36,Cash
992,794,2023-07-25,338366,36,Lease
666,654,2022-10-18,480596,12,Lease
746,303,2023-02-26,176429,60,Financing
898,230,2023-03-25,323302,36,Credit Card
917,965,2024-09-23,326335,12,Cash
24,402,2023-03-31,254699,60,Trade-In
421,382,2023-07-11,357806,60,Credit Card
721,269,2023-08-14,186292,36,Credit Card
859,115,2024-07-20,154132,24,Cash
925,431,2022-12-09,259365,36,Credit Card
457,549,2024-02-12,270790,12,Lease
272,803,2024-08-01,190021,36,Credit Card
356,132,2024-09-11,297178,24,Credit Card
932,246,2023-11-21,31614,36,Financing
927,271,2024-02-02,224199,36,Cash
711,685,2022-12-07,320593,60,Financing
946,555,2024-07-28,41353,36,Credit Card
772,62,2023-11-13,422881,12,Financing
528,828,2023-07-11,23313,36,Trade-In
228,200,2024-07-18,467013,36,Financing
21,417,2023-12-02,268524,36,Trade-In
635,662,2023-02-09,312214,48,Financing
455,680,2023-10-02,420421,60,Trade-In
457,711,2023-05-24,216843,12,Lease
794,447,2023-01-22,254219,60,Trade-In
747,636,2023-06-20,456120,24,Credit Card
9,319,2022-11-06,135253,12,Financing
432,513,2023-10-05,464035,24,Cash
602,354,2023-04-06,107841,24,Cash
925,901,2024-04-06,153321,60,Cash
662,518,2022-11-10,305524,60,Cash
1,280,2023-01-28,475765,36,Trade-In
262,104,2022-12-20,334380,48,Trade-In
888,975,2023-06-07,276264,12,Credit Card
907,327,2023-12-23,427066,24,Trade-In
826,197,2023-08-28,312835,24,Lease
516,967,2023-03-27,20123,24,Credit Card
137,451,2023-04-25,48888,36,Lease
1,492,2023-01-29,328505,60,Trade-In
550,67,2022-11-09,184393,48,Credit Card
926,406,2024-09-17,422472,24,Trade-In
557,365,2024-01-25,324864,24,Financing
535,690,2024-09-21,243339,48,Lease
328,554,2024-04-07,362773,12,Lease
756,986,2023-02-26,111073,24,Financing
263,804,2023-04-05,412796,36,Credit Card
621,453,2024-05-16,197697,12,Trade-In
599,630,2023-05-11,190790,12,Trade-In
215,547,2024-09-25,432919,48,Financing
238,756,2024-01-31,455183,60,Cash
776,217,2024-07-28,434553,36,Financing
644,964,2023-12-19,42650,24,Trade-In
682,597,2023-10-08,234459,24,Cash
670,513,2023-04-26,43934,48,Cash
547,100,2024-06-07,362023,24,Credit Card
442,511,2022-12-07,394179,36,Financing
608,104,2023-07-01,109311,36,Lease
822,722,2023-01-23,321739,48,Credit Card
304,793,2024-04-08,112723,48,Financing
667,624,2024-07-22,493934,12,Credit Card
502,837,2023-05-24,369285,36,Credit Card
352,143,2023-10-14,202306,48,Trade-In
958,850,2024-09-15,484717,12,Financing
548,753,2022-12-20,303338,24,Financing
669,480,2023-03-24,251247,36,Financing
174,46,2024-03-14,151353,60,Trade-In
769,772,2024-08-02,17856,24,Lease
774,425,2023-10-09,332042,12,Credit Card
514,223,2023-05-19,441947,60,Lease
314,81,2024-08-27,237513,60,Credit Card
910,998,2023-09-30,169619,24,Credit Card
567,787,2023-03-07,407258,24,Lease
579,988,2023-09-27,384981,48,Lease
864,323,2023-04-06,265059,24,Trade-In
372,347,2024-10-06,130901,12,Trade-In
323,307,2023-04-12,280403,60,Credit Card
749,34,2023-06-08,232780,36,Financing
330,756,2023-09-16,435910,24,Lease
999,771,2023-07-15,176406,36,Cash
592,344,2023-02-16,262116,12,Trade-In
769,105,2024-07-06,93355,60,Cash
511,584,2023-03-19,471646,60,Cash
428,439,2024-04-28,38527,12,Credit Card
742,892,2023-02-05,396504,36,Trade-In
122,795,2022-11-22,148657,48,Credit Card
101,197,2024-09-04,333489,60,Financing
732,268,2023-04-27,93665,48,Trade-In
636,365,2023-11-05,182043,24,Lease
760,513,2023-02-03,405946,12,Trade-In
253,493,2024-02-14,227114,12,Trade-In
229,190,2024-07-15,254494,36,Lease
19,460,2024-10-01,71771,36,Credit Card
453,545,2023-03-01,70183,60,Lease
97,394,2023-11-15,110323,48,Credit Card
38,631,2023-04-09,460872,12,Financing
740,525,2023-11-22,20436,24,Cash
546,52,2023-10-20,5289,60,Credit Card
495,838,2024-08-07,154532,12,Trade-In
672,920,2024-01-21,229898,60,Financing
91,890,2024-06-27,299931,24,Credit Card
609,824,2024-08-15,263987,60,Cash
886,1,2023-11-01,167924,24,Credit Card
178,124,2023-05-17,221105,48,Financing
817,633,2022-12-09,354135,24,Financing
598,709,2023-11-15,139211,24,Lease
320,34,2022-11-13,429984,48,Lease
33,799,2023-10-28,37864,24,Cash
873,866,2023-08-02,94995,12,Cash
239,337,2023-12-17,137296,48,Lease
980,619,2023-09-29,224124,60,Trade-In
136,465,2024-02-05,227390,24,Credit Card
70,840,2022-12-07,223825,12,Lease
859,148,2023-01-16,114142,24,Lease
431,775,2023-01-01,480281,60,Lease
906,490,2024-06-15,318000,12,Financing
685,754,2023-09-30,134343,36,Trade-In
20,626,2022-10-10,464007,12,Credit Card
596,485,2024-03-05,187677,24,Financing
972,586,2023-08-27,300011,12,Financing
77,691,2024-07-25,407392,36,Trade-In
944,193,2023-07-14,50241,36,Trade-In
415,332,2024-06-09,394042,36,Trade-In
218,487,2023-08-14,348610,36,Lease
37,88,2023-02-19,81135,12,Lease
192,999,2022-12-19,91867,12,Financing
812,567,2023-01-18,66886,12,Financing
6,401,2023-12-21,43969,24,Lease
738,682,2024-09-26,201367,24,Cash
650,537,2024-02-14,321048,12,Cash
345,814,2024-07-04,391404,12,Cash
570,913,2024-10-05,9561,12,Lease
717,949,2024-08-30,70078,24,Cash
1,510,2023-05-12,97819,48,Lease
634,387,2024-09-12,147724,36,Lease
788,45,2022-11-16,110165,12,Lease
36,214,2023-03-25,454765,12,Financing
187,862,2022-11-30,315134,12,Credit Card
555,609,2024-06-18,257958,48,Cash
321,182,2024-07-04,220948,48,Cash
133,690,2024-07-14,194576,36,Trade-In
719,840,2023-01-11,459060,48,Financing
955,844,2024-06-14,135485,36,Lease
756,538,2023-02-11,426023,12,Lease
333,392,2024-07-12,21350,36,Credit Card
228,138,2023-05-15,449279,60,Credit Card
894,695,2023-04-14,228368,36,Credit Card
529,942,2023-01-25,381952,12,Credit Card
924,63,2023-05-22,72842,48,Financing
596,137,2024-05-02,379547,24,Credit Card
67,564,2023-04-21,191371,12,Lease
831,932,2023-07-02,239057,12,Lease
770,372,2023-02-26,199059,24,Trade-In
539,454,2023-08-26,385196,36,Cash
191,856,2023-08-22,267812,60,Financing
311,329,2023-12-07,253873,24,Trade-In
372,836,2023-05-05,46542,12,Trade-In
553,942,2024-08-20,310848,60,Lease
985,602,2023-07-31,76626,48,Trade-In
41,557,2023-07-03,227334,60,Cash
407,391,2023-11-05,446558,36,Cash
302,537,2024-04-18,67932,60,Financing
54,20,2024-06-09,122786,60,Financing
245,178,2023-08-14,413610,48,Financing
991,705,2023-11-11,402661,60,Trade-In
572,558,2023-08-14,348879,48,Trade-In
681,895,2024-06-07,220383,48,Lease
258,242,2023-03-31,10566,36,Financing
8,718,2024-05-02,470301,48,Lease
865,920,2023-02-14,46368,48,Trade-In
480,711,2024-06-30,81736,36,Financing
